y,U_x,U_y,U_z,k,nut,omega,p
0.18593,0.907855,-7.78916e-09,0,0.00809701,0.00240559,3.33529,5.05586e-07
0.190955,0.91293,-8.24058e-09,0,0.00806367,0.00247355,3.23113,5.06153e-07
0.19598,0.918005,-8.692e-09,0,0.00803033,0.00254152,3.12698,5.0672e-07
0.201005,0.922846,-9.19615e-09,0,0.00799525,0.0026083,3.03129,5.07336e-07
0.20603,0.92749,-9.74513e-09,0,0.00795869,0.00267408,2.94278,5.07995e-07
0.211055,0.932133,-1.02941e-08,0,0.00792214,0.00273985,2.85428,5.08653e-07
0.21608,0.93656,-1.08537e-08,0,0.0078841,0.0028044,2.77299,5.09374e-07
0.221106,0.940826,-1.14212e-08,0,0.00784496,0.00286805,2.69703,5.10142e-07
0.226131,0.945092,-1.19887e-08,0,0.00780582,0.00293169,2.62107,5.1091e-07
0.231156,0.949184,-1.25002e-08,0,0.00776558,0.00299431,2.55045,5.11749e-07
0.236181,0.953116,-1.29608e-08,0,0.00772432,0.00305598,2.48467,5.12652e-07
0.241206,0.957049,-1.34214e-08,0,0.00768307,0.00311765,2.41889,5.13556e-07
0.246231,0.960867,-1.37843e-08,0,0.00764115,0.00317868,2.35633,5.14514e-07
0.251256,0.964501,-1.39917e-08,0,0.00759815,0.00323869,2.2989,5.15557e-07
0.256281,0.968136,-1.41991e-08,0,0.00755516,0.0032987,2.24147,5.16601e-07
0.261307,0.971728,-1.43617e-08,0,0.00751195,0.00335854,2.18512,5.17655e-07
